wavelength,fwhm
423.029999,6.925900
428.799988,6.584700
434.289978,6.343100
439.579987,6.167100
444.720001,6.036200
449.750000,5.938900
454.699982,5.867600
459.589996,5.816100
464.429993,5.780800
469.250000,5.758800
474.049988,5.748100
478.839996,5.746500
483.630005,5.753300
488.420013,5.767300
493.229980,5.787500
498.050018,5.813400
502.899994,5.844500
507.769989,5.880200
512.669983,5.919700
517.599976,5.963500
522.570007,6.010700
527.580017,6.061300
532.630005,6.114700
537.720032,6.171300
542.869995,6.230600
548.059998,6.292500
553.300049,6.356500
558.600037,6.422400
563.950012,6.491600
569.360046,6.561500
574.830017,6.633700
580.359985,6.707500
585.950012,6.783400
591.599976,6.859900
597.320007,6.938300
603.099976,7.017500
608.950012,7.098500
614.859985,7.179700
620.840027,7.262000
626.900024,7.345000
633.019958,7.429100
639.209961,7.512800
645.470032,7.597000
651.799988,7.681700
658.200012,7.766000
664.669983,7.850500
671.209961,7.934800
677.829956,8.018500
684.510010,8.101700
691.260010,8.184099
698.080017,8.265901
704.970032,8.346900
711.920044,8.426300
718.949951,8.505100
726.029968,8.581900
733.190002,8.657599
740.400024,8.731400
747.679993,8.803700
755.010010,8.874100
762.409973,8.942200
769.860046,9.008700
777.369995,9.072700
784.929993,9.134700
792.540039,9.194200
800.200012,9.251200
807.910034,9.306200
815.670044,9.358100
823.459961,9.408000
831.300049,9.454800
839.179993,9.499100
847.100037,9.540800
855.050049,9.579800
863.030029,9.616199
871.049988,9.649699
879.090027,9.680699
887.159973,9.709100
895.250000,9.735100
903.359985,9.757899
911.490051,9.778600
919.640015,9.796900
927.799988,9.812400
935.980042,9.825601
944.169983,9.836400
952.369995,9.844999
960.570007,9.851501
968.779968,9.855400
976.989990,9.857901
985.210022,9.857500
904.779968,11.592000
914.440002,11.755000
924.229980,11.917000
934.159973,12.075001
944.230042,12.230000
954.419983,12.380000
964.739990,12.527000
975.170044,12.669000
985.729980,12.807000
996.400024,12.938999
1007.200012,13.066999
1018.100037,13.190001
1029.099976,13.306001
1040.199951,13.417000
1051.300049,13.522000
1062.599976,13.622000
1074.000000,13.715000
1085.400024,13.802000
1096.900024,13.882000
1108.500000,13.957001
1120.099976,14.026000
1131.800049,14.088000
1143.500000,14.145000
1155.300049,14.195000
1167.099976,14.240001
1179.000000,14.279000
1190.900024,14.312000
1202.800049,14.340000
1214.800049,14.362000
1226.699951,14.379999
1238.700073,14.393000
1250.699951,14.400000
1262.699951,14.403999
1274.700073,14.402000
1286.699951,14.397000
1298.699951,14.388000
1310.700073,14.375000
1322.700073,14.358000
1334.699951,14.337001
1346.600098,14.315000
1358.500000,14.288000
1370.399902,14.259001
1382.300049,14.227000
1394.199951,14.192000
1406.000000,14.156000
1417.799927,14.117000
1429.599976,14.076000
1441.300049,14.033000
1453.000000,13.988000
1464.599976,13.942000
1476.300049,13.894000
1487.800049,13.845000
1499.400024,13.794999
1510.900024,13.743000
1522.300049,13.690001
1533.699951,13.637000
1545.099976,13.582000
1556.399902,13.528000
1567.700073,13.472000
1578.900024,13.415000
1590.100098,13.359000
1601.199951,13.301000
1612.300049,13.243000
1623.299927,13.186000
1634.300049,13.127000
1645.300049,13.069000
1656.200073,13.010000
1667.000000,12.950999
1677.800049,12.892000
1688.500000,12.833000
1699.200073,12.775001
1709.900024,12.715000
1720.500000,12.657000
1731.000000,12.598000
1741.500000,12.540000
1752.000000,12.481000
1762.400024,12.423000
1772.699951,12.365001
1783.000000,12.307000
1793.300049,12.249001
1803.500000,12.191999
1813.699951,12.135000
1823.799927,12.078000
1833.799927,12.021999
1843.900024,11.965000
1853.800049,11.908999
1863.700073,11.854000
1873.599976,11.799000
1883.500000,11.744000
1893.200073,11.689000
1903.000000,11.635000
1912.700073,11.581000
1922.299927,11.528000
1931.900024,11.474999
1941.500000,11.422000
1951.000000,11.370001
1960.500000,11.318000
1969.900024,11.267000
1979.300049,11.216000
1988.700073,11.165000
1998.000000,11.114000
2007.199951,11.065000
2016.400146,11.014999
2025.599976,10.966001
2034.800049,10.917000
2043.900024,10.869000
2052.900146,10.821000
2061.899902,10.773001
2070.899902,10.726000
2079.900146,10.679000
2088.800049,10.632000
2097.600098,10.586000
2106.399902,10.541000
2115.199951,10.495000
2124.000000,10.450000
2132.699951,10.405001
2141.300049,10.361000
2150.000000,10.316999
2158.600098,10.273999
2167.099854,10.231000
2175.699951,10.188001
2184.199951,10.146001
2192.600098,10.104000
2201.000000,10.061000
2209.399902,10.020000
2217.799805,9.979300
2226.099854,9.938400
2234.400146,9.897900
2242.599854,9.857901
2250.799805,9.818299
2259.000000,9.778700
2267.199951,9.739900
2275.300049,9.700700
2283.400146,9.662499
2291.399902,9.624200
2299.400146,9.586599
2307.399902,9.548900
2315.399902,9.511700
2323.299805,9.474800
2331.199951,9.438100
2339.099854,9.402000
2346.899902,9.365600
2354.700195,9.330000
2362.500000,9.294600
2370.199951,9.259400
2377.899902,9.224300
2385.600098,9.189900
2393.300049,9.155300
2400.899902,9.121300
2408.500000,9.087501
2416.100098,9.053900
2423.599854,9.020700
2431.099854,8.987400
2438.600098,8.954901